v1	v2
"Orders"	"EconomicOperands"
"Original information"	"EconomicOperands"
"Originators"	"EconomicOperands"
"Oversight"	"EconomicOperands"
"Ownership"	"EconomicOperands"
"Parent"	"EconomicOperands"
"Pay"	"EconomicOperands"
"Payment"	"EconomicOperands"
"Payment card network"	"EconomicOperands"
"Payment clearing or settlement activity"	"EconomicOperands"
"Payment instrument"	"EconomicOperands"
"Payments"	"EconomicOperands"
"Performance"	"EconomicOperands"
"Period"	"EconomicOperands"
"Person"	"EconomicOperands"
"Person associated with a security-based swap dealer or major security-based swap participant"	"EconomicOperands"
"Person regulated by a State insurance regulator"	"EconomicOperands"
"Person regulated by the commission"	"EconomicOperands"
"Person regulated by the commodity futures trading commission"	"EconomicOperands"
"Person that performs income tax preparation activities for consumers"	"EconomicOperands"
"Persons"	"EconomicOperands"
"Plan"	"EconomicOperands"
"Plans"	"EconomicOperands"
"Points and fees"	"EconomicOperands"
"Policies"	"EconomicOperands"
"Policy"	"EconomicOperands"
"Portfolio"	"EconomicOperands"
"Powers"	"EconomicOperands"
"Practice"	"EconomicOperands"
"Practices"	"EconomicOperands"
"Premium tax"	"EconomicOperands"
"Price"	"EconomicOperands"
"Primary Dealer Credit Facility"	"EconomicOperands"
"Primary financial regulatory agency"	"EconomicOperands"
"Principles"	"EconomicOperands"
"Prior"	"EconomicOperands"
"Private"	"EconomicOperands"
"Private Education Loan"	"EconomicOperands"
"Private Fund"	"EconomicOperands"
"Private education loan"	"EconomicOperands"
"Privilege"	"EconomicOperands"
"Procedures"	"EconomicOperands"
"Process"	"EconomicOperands"
"Professional"	"EconomicOperands"
"Professional standards"	"EconomicOperands"
"Prohibited"	"EconomicOperands"
"Property"	"EconomicOperands"
"Proprietary trading"	"EconomicOperands"
"Provide"	"EconomicOperands"
"Provided"	"EconomicOperands"
"Provision"	"EconomicOperands"
"Provisions"	"EconomicOperands"
"Prudential regulator"	"EconomicOperands"
"Prudential regulators"	"EconomicOperands"
"Prudential standards"	"EconomicOperands"
"Public"	"EconomicOperands"
"Public disclosure"	"EconomicOperands"
"Purchase"	"EconomicOperands"
"Purpose"	"EconomicOperands"
"Purposes"	"EconomicOperands"
"Qualified"	"EconomicOperands"
"Qualified financial contract"	"EconomicOperands"
"Qualified financial contracts"	"EconomicOperands"
"Qualified mortgage"	"EconomicOperands"
"Qualified residential mortgage"	"EconomicOperands"
"Qualified risk manager"	"EconomicOperands"
"Qualified thrift lenders"	"EconomicOperands"
"Recommendation"	"EconomicOperands"
"Recommendations"	"EconomicOperands"
"Records"	"EconomicOperands"
"Referrals"	"EconomicOperands"
"Reform"	"EconomicOperands"
"Reforms"	"EconomicOperands"
"Registered"	"EconomicOperands"
"Registration"	"EconomicOperands"
"Regulation"	"EconomicOperands"
"Regulation of"	"EconomicOperands"
"Regulations"	"EconomicOperands"
"Regulatory"	"EconomicOperands"
"Reinsurance"	"EconomicOperands"
"Reinsurer"	"EconomicOperands"
"Related action"	"EconomicOperands"
"Related person"	"EconomicOperands"
"Remittance transfer"	"EconomicOperands"
"Remittance transfers"	"EconomicOperands"
"Rental housing counseling"	"EconomicOperands"
"Reorganization"	"EconomicOperands"
"Repeal"	"EconomicOperands"
"Repeals"	"EconomicOperands"
"Report"	"EconomicOperands"
"Reporting"	"EconomicOperands"
"Reporting requirements"	"EconomicOperands"
"Reports"	"EconomicOperands"
"Repurchase agreement"	"EconomicOperands"
"Request"	"EconomicOperands"
"Requests"	"EconomicOperands"
"Requests for information"	"EconomicOperands"
"Requirement"	"EconomicOperands"
"Requirements"	"EconomicOperands"
"Research"	"EconomicOperands"
"Research and Analysis Center"	"EconomicOperands"
"Research and analysis center"	"EconomicOperands"
"Reserve Banks"	"EconomicOperands"
"Reserve banks"	"EconomicOperands"
"Reserve requirements"	"EconomicOperands"
"Residential Mortgage Loan"	"EconomicOperands"
"Residential mortgage loan"	"EconomicOperands"
"Residential mortgages"	"EconomicOperands"
"Resolution"	"EconomicOperands"
"Responsibilities"	"EconomicOperands"
"Restructuring"	"EconomicOperands"
"Result"	"EconomicOperands"
"Retail"	"EconomicOperands"
"Retail customer"	"EconomicOperands"
"Right"	"EconomicOperands"
